brand_Ford,brand_Volkswagen,car_age,brand_Toyota,usage_intensity,owner,brand_Other,brand_Honda,mileage_power_interaction,engine,mileage,transmission_Manual,km_per_year,brand_Nissan,km_driven,max_power,seller_type_Trustmark Dealer,brand_Hyundai,brand_Renault,fuel_Diesel,brand_Maruti,fuel_Petrol,age_km_interaction,brand_Tata,fuel_LPG,specific_power,seller_type_Individual,selling_price
0,0,-0.6250723853001153,0,3,1,0,0,0.9180749995139283,0.13868228579781053,1.8224959077664513,1.0,3.4688153407948756,0,2.1369659366606304,-0.24158944323366016,0.0,0,0,1.0,1,0.0,0.808248344087756,0,0.0,-0.6160019726583185,1.0,600000
0,0,-0.6250723853001153,0,2,1,0,0,-0.12798687204734807,-0.10678113970252108,-0.5540182493463813,0.0,0.7098819819871416,0,0.14599946185968515,0.2636728021461135,0.0,1,0,0.0,0,1.0,-0.2884607421123058,0,0.0,0.6072201245012577,0.0,565000
0,0,1.4760332234013958,0,1,3,0,0,-1.832312607038419,-2.0367974853031674,-0.3636432834895463,1.0,-0.5634718759241201,0,0.04389861699809824,-1.9910599678611267,0.0,0,0,0.0,1,1.0,0.5051691949099612,0,0.0,-0.7659597849879222,0.0,120000
0,0,-0.8877105863878042,0,2,1,0,0,1.0022743033798314,0.8510075205830866,0.5374648882328097,1.0,2.5403281527345802,0,1.115957488044761,0.6887246660718483,0.0,1,0,1.0,0,0.0,0.0739844259766035,0,0.0,-0.049490976687988984,1.0,725000
0,0,1.2133950223137069,0,1,2,0,0,-0.40204981899536474,-1.0645697999881287,0.299496180911765,1.0,-0.304821873535895,0,0.27362551793666884,-0.6805360189073387,0.0,0,0,0.0,1,1.0,0.6239012327321901,0,0.0,0.43186960490501625,0.0,185000
0,0,0.950756821226018,0,2,2,0,0,0.1998031529673695,0.13868228579781053,-0.6492057322747995,1.0,0.28543069601672116,0,0.8607053758907937,0.7689350475258871,0.0,0,0,1.0,0,0.0,1.0425878924211025,1,0.0,1.0868000047221407,1.0,200000
0,0,-1.412986988563182,0,1,1,0,0,0.3117885241524455,-0.10678113970252108,0.1154670472501576,1.0,-1.3062616263723559,0,-1.4365636334949121,0.251041246011619,0.0,0,0,0.0,1,1.0,-1.2070717715790242,0,0.0,0.5850282190316511,1.0,615000
0,0,-1.1503487874754932,0,1,1,0,0,0.4247744626634794,-0.10678113970252108,0.17575245310482154,1.0,-0.24513341144630463,0,-0.7984333531099939,0.33314636088583205,0.0,0,0,0.0,1,1.0,-0.9180529953012302,0,0.0,0.729275604584179,1.0,610000
1,0,-1.675625189650871,0,1,2,0,0,0.47839861778909953,-0.12122016473195235,-0.5857474103225211,1.0,-1.5184872693575664,0,-1.5641896895718959,1.0645134610730551,0.0,0,0,0.0,0,1.0,-1.261750999523472,0,0.0,2.0405830319016,1.0,400000
0,0,0.950756821226018,0,1,1,0,0,-1.5329501589148822,-0.227106348281115,-1.6010805615589783,1.0,-0.8181426475063724,0,-0.46660560730983636,-0.8100094692859056,0.0,0,0,0.0,0,1.0,-0.1759777589122995,1,0.0,-1.125244372890261,1.0,300000
